label,iter,n,elapsed,valid
Pruned',3,28,85752672,true
Pruned',4,28,85623268,true
Pruned',5,28,85741946,true
Pruned',6,28,85451909,true
Pruned',7,28,85548291,true
Pruned',8,28,85535578,true
Pruned',9,28,85725402,true
Pruned',10,28,85829804,true
Pruned',11,28,86163537,true
Effectful',1,28,29031373,true
Effectful',2,28,30180812,true
Effectful',3,28,29012833,true
Effectful',4,28,30414705,true
Effectful',5,28,29348916,true
Effectful',6,28,29837899,true
Effectful',7,28,29006332,true
Effectful',8,28,29730412,true
Effectful',9,28,29422805,true
Effectful',10,28,29724731,true
Effectful',11,28,29012412,true
