label,iter,n,elapsed,valid
Berger',3,10,135057,true
Berger',4,10,134806,true
Berger',5,10,134744,true
Berger',6,10,134776,true
Berger',7,10,134806,true
Berger',8,10,134783,true
Berger',9,10,134811,true
Berger',10,10,135070,true
Berger',11,10,134791,true
Pruned',1,10,63335,true
Pruned',2,10,63324,true
Pruned',3,10,63296,true
Pruned',4,10,63363,true
Pruned',5,10,63253,true
Pruned',6,10,63270,true
Pruned',7,10,63325,true
Pruned',8,10,63306,true
Pruned',9,10,63292,true
Pruned',10,10,63299,true
Pruned',11,10,63290,true
Effectful',1,10,695554,true
Effectful',2,10,658822,true
Effectful',3,10,658814,true
Effectful',4,10,653368,true
Effectful',5,10,625874,true
Effectful',6,10,625398,true
Effectful',7,10,625272,true
Effectful',8,10,625211,true
Effectful',9,10,625769,true
